"Source","Target"
"I Bartomeus","R Bommarco"
"I Steffan","R Bommarco"
"L Garibaldi","R Bommarco"
"M Aizen","R Bommarco"
"M Winsa","R Bommarco"
"R Winfree","R Bommarco"
"V Gagic","R Bommarco"
"D Kleijn","R Isaacs"
"I Bartomeus","R Isaacs"
"L Carvalheiro","R Isaacs"
"M Henry","R Isaacs"
"R Winfree","R Isaacs"
"E Öckinger","R Lindborg"
"M Winsa","R Lindborg"
"R Bommarco","R Lindborg"
"C Coux","R Rader"
"I Bartomeus","R Rader"
"L Marini","R Rader"
"I Bartomeus","R Rohr"
"O Godoy","R Rohr"
"A Lakso","R Winfree"
"B Danforth","R Winfree"
"B Howlett","R Winfree"
"D Cariveau","R Winfree"
"D Kleijn","R Winfree"
"I Bartomeus","R Winfree"
"I Steffan","R Winfree"
"J Gibbs","R Winfree"
"J Reilly","R Winfree"
"L Garibaldi","R Winfree"
"M Garratt","R Winfree"
"M Park","R Winfree"
"R Rader","R Winfree"
"T Harrison","R Winfree"
"B Danforth","S Colla"
"D Wagner","S Colla"
"I Bartomeus","S Colla"
"J Ascher","S Colla"
"A Klein","S Cunningham"
"I Bartomeus","S Cunningham"
"L Garibaldi","S Cunningham"
"R Bommarco","S Cunningham"
"B Danforth","S Hedtke"
"D Wagner","S Hedtke"
"I Bartomeus","S Hedtke"
"J Ascher","S Hedtke"
"J Gibbs","S Hedtke"
"B Danforth","S Kornbluth"
"D Wagner","S Kornbluth"
"I Bartomeus","S Kornbluth"
"J Ascher","S Kornbluth"
"S Colla","S Kornbluth"
"C González","S Pavoine"
"D Sol","S Pavoine"
"I Bartomeus","S Pavoine"
"I Bartomeus","S Potts"
"A Holzschuh","S Roberts"
"A Magrach","S Roberts"
"E Öckinger","S Roberts"
"I Bartomeus","S Roberts"
"M Winsa","S Roberts"
"R Bommarco","S Roberts"
"R Lindborg","S Roberts"
"V Riedinger","S Roberts"
"I Bartomeus","S Saavedra"
"O Godoy","S Saavedra"
"R Rohr","S Saavedra"
"A Pérez","S Varela"
"F Rodriguez","S Varela"
"F Rodríguez","S Varela"
"I Bartomeus","S Varela"
"D Cariveau","T Harrison"
"I Bartomeus","T Harrison"
"I Bartomeus","T Jonsson"
"V Gagic","T Jonsson"
"A Dietzsch","T Petanidou"
"I Bartomeus","T Petanidou"
"M Vilà","T Petanidou"
"A Novy","T Schuler"
"I Bartomeus","V Gagic"
"A Holzschuh","V Riedinger"
"A Magrach","V Riedinger"
"I Bartomeus","V Riedinger"
"D Sol","X Font"
"I Bartomeus","X Font"
"J Pino","X Font"
"P Vicente","X Font"
"E Szoecs","Z Arendsee"
"S Chamberlain","Z Arendsee"
"Z Foster","Z Arendsee"
"E Szoecs","Z Foster"
"S Chamberlain","Z Foster"
