media,year,paper,place,title,author,link
newspaper,2017,NA,El Correo,NA,NA,https://elcorreoweb.es/sevilla/el-impacto-obligara-al-reseteo-de-especies-AD2599002
newspaper,2017,NA,La Opinion A Coruña,NA,NA,https://www.laopinioncoruna.es/sociedad/2017/09/15/insectos-peligro-grave-extincion-masiva/1217463.html
internet,2019,NA,Nature,NA,NA,https://blog.nature.org/science/science-brief/nature-improves-crop-production/
news,2019,NA,Xarxanet,NA,NA,http://xarxanet.org/internacional/noticies/ignasi-bartomeus-l-ecologia-no-enten-de-fronteres-ni-fa-separacions-entre
news,2019,NA,Efe,NA,NA,https://www.efeverde.com/noticias/guia-campo-abejas/
newspaper,2018,NA,National Geographic,NA,NA,In press only.
news,2018,NA,Noticias Canal Sur,NA,NA,https://www.youtube.com/watch?v=VYsLtF10-nY&feature=youtu.be
Radio,2018,NA,La cafereta de Radiocable,NA,NA,https://www.spreaker.com/user/radiocable/lacafetera15sincouso-hablamos-con-david-
Radio,2018,NA,"Verde Verde, Canal Sur",NA,NA,http://www.canalsur.es/radio/programas/verde-verde/detalle/155.html?video=1257638&fecha=&ano=
internet,2018,NA,Ecomandanga,NA,NA,https://ecomandanga.org/2018/03/01/la-polinizacion-no-es-solo-cuestion-de-abejas-necesitamos-mas-especies/
Radio,2018,NA,Einstein en Malasaña,NA,NA,https://www.m21radio.es/podcast/einstein-en-malasana/einstein-en-malasana-14022018
newspaper,2018,NA,La vanguardia,NA,NA,http://www.lavanguardia.com/local/sevilla/20180207/44607268732/un-estudio-de-la-ebd-demuestra-que-las-abejas-de-la-miel-compiten-con-las-salvajes-por-el-mismo-habitat.html
